Incident Number,District,Offense Description,Incident Address,Incident Date
2015-069607,90,Theft of property Misd,"1 BASS DR
Little Rock, Arkansas
(34.813494, -92.466665)",02/28/2015-06/17/2015
2015-043694,92,Theft of property Felony,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",4/23/15
2015-063865,51,Theft of property Misd,"1009 WOLFE ST
Little Rock, Arkansas
(34.741151, -92.292777)",6/9/15
2015-069359,61,Burglary - Residential,"801 S RODNEY PARHAM RD
Little Rock, Arkansas
(34.747571, -92.362848)",6/22/15
2014-077347,72,Theft of property Felony,"19301 CANTRELL RD
Little Rock, Arkansas
(34.810854, -92.484164)",03/20/2014-06/25/2014
2014-140421,60,Burglary - Residential,"1616 N BRYANT ST
Little Rock, Arkansas
(34.766951, -92.352787)",12/05/2014-12/06/2014
2015-048388,71,Theft of property Misd,"117 WELLINGTON PLANTATIO LN
Little Rock, Arkansas
(34.770351, -92.441033)",1/1/15
2015-071990,61,Burglary - Residential,"85 BELMONT DR
Little Rock, Arkansas
(34.733307, -92.348507)",6/28/15
2015-097027,90,Theft of property Misd,"9601 INTERSTATE 30
Little Rock, Arkansas
(34.674576, -92.367709)",8/22/15
2015-044598,80,Breaking or Entering Vehicle,"5304 GUM SPRINGS RD
Little Rock, Arkansas
(34.701342, -92.334935)",4/25/15
2015-120734,50,Theft of property Felony,"1020 JESSIE RD
Little Rock, Arkansas
(34.759072, -92.301461)",10/5/15
2015-089370,53,Theft of property Misd,"3100 W ROOSEVELT RD
Little Rock, Arkansas
(34.725548, -92.309055)",8/5/15
2015-000803,64,Theft of property Misd,"11800 CHENAL
Little Rock, Arkansas
(34.748892, -92.405295)",1/2/15
2015-109952,53,Burglary - Residential,"3709 W 8TH ST
Little Rock, Arkansas
(34.744003, -92.314971)",9/24/15
2015-140238,70,Breaking or Entering Vehicle,"1 PLEASANT VALLEY DR
Little Rock, Arkansas
(34.779119, -92.40628)",12/9/15
2015-146716,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",12/24/15
2015-111984,81,Domestic Battering 2nd degree,"8514 STANTON RD
Little Rock, Arkansas
(34.672131, -92.333075)",9/29/15
2015-072308,82,Theft of property Misd,"5924 BASELINE RD
Little Rock, Arkansas
(34.669134, -92.34401)",6/29/15
2015-042989,71,Theft of property Misd,"12700 CHENAL
Little Rock, Arkansas
(34.754179, -92.414858)",4/21/15
2015-142559,71,Breaking or Entering Vehicle,"12701 HINSON RD
Little Rock, Arkansas
(34.772818, -92.41422)",12/15/15
2015-033284,71,Theft of property Misd,"1602 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.768691, -92.403718)",3/29/15
2015-042894,52,Theft of property Misd,"1800 BISHOP ST
Little Rock, Arkansas
(34.733392, -92.29075)",4/20/15
2015-105307,50,Burglary - Residential,"121 N JACKSON ST
Little Rock, Arkansas
(34.752635, -92.329487)",09/12/2015-09/13/2015
2015-001080,60,Theft of property Misd,"314 S UNIVERSITY AV
Little Rock, Arkansas
(34.750048, -92.341281)",1/3/15
2014-073363,52,Theft of property Misd,"1621 DR MARTIN LUTHER KNG DR
Little Rock, Arkansas
(34.735279, -92.289462)",06/20/2014-06/24/2014
2015-091828,63,Burglary - Residential,"1420 BRECKENRIDGE DR
Little Rock, Arkansas
(34.76715, -92.386532)",8/12/15
2015-109074,72,Theft of property Misd,"16001 CHENAL
Little Rock, Arkansas
(34.7579, -92.447708)",9/11/15
2015-056608,82,Breaking or Entering Vehicle,"9500 S HEIGHTS RD
Little Rock, Arkansas
(34.664516, -92.331698)",5/23/15
2015-124580,72,Theft of property Felony,"7 CAPE COD CT
Little Rock, Arkansas
(34.780962, -92.430964)",10/29/2015-10/30/2015
2015-004716,41,Battery 2nd degree,"2225 S MAIN ST
Little Rock, Arkansas
(34.726605, -92.273856)",1/13/15
2014-135070,40,Theft of property Felony,"701 S SCOTT ST
Little Rock, Arkansas
(34.741563, -92.270351)",11/21/2014-11/22/2014
2015-033574,51,Theft of property Felony,"1401 W CAPITOL AV
Little Rock, Arkansas
(34.746197, -92.286142)",02/18/2015-03/27/2015
2015-067210,72,Theft of property Misd,"1 CHENAL HEIGHTS DR
Little Rock, Arkansas
(34.77653, -92.453049)",06/10/2015-06/14/2015
2015-089836,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",8/6/15
2015-115314,71,Burglary - Residential,"501 NAPA VALLEY DR
Little Rock, Arkansas
(34.758991, -92.411363)",10/7/15
2015-032096,53,Terroristic Act,"3109 W 14TH ST
Little Rock, Arkansas
(34.738178, -92.308579)",3/26/15
2014-127825,82,Theft of property Misd,"33 GEORGE LN
Little Rock, Arkansas
(34.666545, -92.343518)",11/02/2014-11/03/2014
2014-019597,40,Breaking or Entering Vehicle,"400 PRESIDENT CLINTON AV
Little Rock, Arkansas
(34.747537, -92.266179)",02/21/2014-02/22/2014
2015-095348,93,Breaking or Entering Vehicle,"3 TOM WATSON CV
Little Rock, Arkansas
(34.666926, -92.438451)",8/21/15
2015-044426,90,Robbery (Individual),"21 REMINGTON DR
Little Rock, Arkansas
(34.708726, -92.400197)",4/25/15
2015-019998,64,Theft of property Misd,"10 SHACKLEFORD DR
Little Rock, Arkansas
(34.755147, -92.397266)",2/8/15
2015-143685,62,Theft of property Misd,"8700 COLONEL GLENN RD
Little Rock, Arkansas
(34.710503, -92.372746)",12/18/15
2015-014042,62,Theft of property Misd,"6800 COLONEL GLENN RD
Little Rock, Arkansas
(34.718044, -92.35168)",2/6/15
2015-069062,82,Theft of property Misd,"7515 BASELINE RD
Little Rock, Arkansas
(34.669698, -92.361474)",6/21/15
2015-148344,72,Theft of property Felony,"45 DURANCE DR
Little Rock, Arkansas
(34.802607, -92.469415)",10/25/15
2015-040131,40,Breaking or Entering Vehicle,"617 BROADWAY ST
Little Rock, Arkansas
(34.743531, -92.276131)",04/13/2015-04/14/2015
2014-091590,81,Breaking or Entering Vehicle,"3 SOUTHAVEN CT
Little Rock, Arkansas
(34.672701, -92.334791)",08/11/2014-08/12/2014
2015-006775,54,Theft of property Felony,"4609 GRAND AV
Little Rock, Arkansas
(34.733998, -92.325601)",1/17/15
2015-005430,62,Theft of property Misd,"6310 COLONEL GLENN RD
Little Rock, Arkansas
(34.717773, -92.346014)",1/15/15
2015-083183,72,Theft of property Misd,"19301 CANTRELL RD
Little Rock, Arkansas
(34.810854, -92.484164)",7/23/15
2015-139357,72,Theft of property Misd,"49 HICKORY HILLS
Little Rock, Arkansas
(34.662317, -92.440357)",12/7/15
2015-071438,60,Aggravated assault on an family or household member,"1906 N BRYANT ST
Little Rock, Arkansas
(34.768826, -92.352739)",6/27/15
2015-090986,62,Aggravated Robbery (Individual),"3019 WARE ST
Little Rock, Arkansas
(34.724765, -92.349864)",8/10/15
2015-021438,60,Theft of property Misd,"420 S UNIVERSITY AV
Little Rock, Arkansas
(34.749245, -92.3413)",2/26/15
2015-069937,40,Theft of property Misd,"321 E PRESIDENT CLINTON AV
Little Rock, Arkansas
(34.747739, -92.267654)",6/24/15
2015-075465,90,Breaking or Entering Vehicle,"29 ROSEWALL LN
Little Rock, Arkansas
(34.667203, -92.425682)",07/05/2015-07/06/2015
2014-108151,53,Theft of property Misd,"3824 W CAPITOL AV
Little Rock, Arkansas
(34.747697, -92.316352)",09/18/2014-09/19/2014
2015-003640,64,Theft of property Misd,"2610 S SHACKLEFORD RD
Little Rock, Arkansas
(34.730024, -92.394843)",1/10/15
2015-101468,60,Theft of property Misd,"6205 RIDGECREST DR
Little Rock, Arkansas
(34.758131, -92.342514)",09/02/2015-09/03/2015
2015-004458,50,Burglary - Residential,"2500 KAVANAUGH
Little Rock, Arkansas
(34.757235, -92.320618)",1/12/15
2015-046276,53,Theft of property Misd,"516 THAYER ST
Little Rock, Arkansas
(34.746414, -92.301014)",4/29/15
2015-010304,72,Theft of property Misd,"19301 CANTRELL RD
Little Rock, Arkansas
(34.810854, -92.484164)",1/27/15
2015-088354,90,Robbery (Individual),"6500 CAROLINA DR
Little Rock, Arkansas
(34.691152, -92.360043)",8/4/15
2015-125834,52,Theft of property Misd,"715 W 28TH ST
Little Rock, Arkansas
(34.721601, -92.282138)",10/31/15
2015-092169,64,Aggravated assault on an family or household member,"9600 W 36TH ST
Little Rock, Arkansas
(34.720905, -92.379847)",8/13/15
2015-072890,63,Theft of property Misd,"8101 CANTRELL RD
Little Rock, Arkansas
(34.776496, -92.363765)",6/27/15
2015-020578,51,Burglary - Residential,"101 S VICTORY ST
Little Rock, Arkansas
(34.749985, -92.285816)",2/23/15
2015-128336,40,Theft of property Felony,"3 STATEHOUSE
Little Rock, Arkansas
(34.747975, -92.269435)",11/07/2015-11/08/2015
2015-036277,60,Theft of property Misd,"6700 H ST
Little Rock, Arkansas
(34.7597, -92.34663)",1/20/15
2015-058228,50,Theft of property Misd,"14 BRICKTON PL
Little Rock, Arkansas
(34.753231, -92.3283)",5/27/15
2015-017524,82,Aggravated assault,"9500 S HEIGHTS RD
Little Rock, Arkansas
(34.664516, -92.331698)",2/15/15
2014-033133,63,Burglary - Residential,"7 BROOKRIDGE DR
Little Rock, Arkansas
(34.755378, -92.374236)",03/27/2014-03/29/2014
2015-060733,92,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",6/2/15
2015-136330,54,Robbery (Business),"3400 S UNIVERSITY AV
Little Rock, Arkansas
(34.721332, -92.342129)",11/29/15
2015-136306,60,Theft of property Misd,"600 S UNIVERSITY AV
Little Rock, Arkansas
(34.746455, -92.341396)",11/29/15
2014-149252,81,Burglary Commercial,"7510 GEYER SPRINGS RD
Little Rock, Arkansas
(34.681528, -92.343705)",12/26/2014-12/27/2014
2015-004784,63,Burglary - Residential,"1304 BISCAYNE DR
Little Rock, Arkansas
(34.764508, -92.364611)",1/13/15
2015-005591,53,Theft of property Misd,"1822 JOHNSON ST
Little Rock, Arkansas
(34.7338, -92.30828)",1/15/15
2015-091506,82,Battery 2nd degree,"9500 DARIEN DR
Little Rock, Arkansas
(34.662822, -92.338509)",8/11/15
2015-138363,54,Terroristic Act,"2803 MADISON ST
Little Rock, Arkansas
(34.726146, -92.327371)",12/4/15
2015-117999,82,Burglary Commercial,"4723 BASELINE RD
Little Rock, Arkansas
(34.668484, -92.330735)",10/14/15
2015-140248,43,Burglary Commercial,"2003 E ROOSEVELT RD
Little Rock, Arkansas
(34.722054, -92.248777)",12/9/15
2015-075092,40,Theft of property Misd,"617 BROADWAY ST
Little Rock, Arkansas
(34.743531, -92.276131)",7/5/15
2015-086310,52,Theft of property Misd,"1800 BROADWAY ST
Little Rock, Arkansas
(34.73147, -92.278489)",7/30/15
2014-098431,40,Theft of property Felony,"403 E 3RD ST
Little Rock, Arkansas
(34.745671, -92.267277)",08/27/2014-08/28/2014
2015-139766,72,Theft of property Misd,"17711 CHENAL
Little Rock, Arkansas
(34.768679, -92.457917)",12/8/15
2014-054663,62,Burglary - Residential,"7314 W 40TH ST
Little Rock, Arkansas
(34.716634, -92.357304)",05/15/2014-05/16/2014
2014-066802,52,Theft of property Misd,"2418 S STATE ST
Little Rock, Arkansas
(34.725128, -92.282465)",05/29/2013-06/12/2014
2015-001792,53,Theft of property Misd,"2810 W 12TH ST
Little Rock, Arkansas
(34.739876, -92.304939)",1/5/15
2014-067821,71,Theft of property Misd,"13101 CHENAL
Little Rock, Arkansas
(34.754986, -92.421854)",03/04/2014-06/18/2014
2015-079365,54,Aggravated assault on an family or household member,"1511 S PIERCE ST
Little Rock, Arkansas
(34.738076, -92.337881)",7/14/15
2015-042081,82,Breaking or Entering Vehicle,"5813 BASELINE RD
Little Rock, Arkansas
(34.669035, -92.341546)",04/18/2015-04/19/2015
2015-038500,81,Theft of property Misd,"6301 FORBING RD
Little Rock, Arkansas
(34.683739, -92.346809)",04/01/2015-04/10/2015
2015-051272,90,Theft of property Misd,"23 AUGUSTA CT
Little Rock, Arkansas
(34.678098, -92.422514)",5/10/15
2015-145188,90,Aggravated assault,"4816 TIMBERLAND DR
Little Rock, Arkansas
(34.709187, -92.386191)",12/22/15
2015-017214,63,Breaking or Entering Vehicle,"20 COACHLIGHT DR
Little Rock, Arkansas
(34.768491, -92.380847)",2/14/15
2015-147529,90,Theft of property Felony,"9707 HERNDON RD
Little Rock, Arkansas
(34.696606, -92.384501)",12/14/15
2015-114051,61,Breaking or Entering Vehicle,"1501 LEISURE PL
Little Rock, Arkansas
(34.739584, -92.347032)",10/4/15
2015-101928,71,Theft of property Misd,"12700 CHENAL
Little Rock, Arkansas
(34.754179, -92.414858)",9/5/15
2015-010993,71,Breaking or Entering Vehicle,"720 PARKWAY PLACE DR
Little Rock, Arkansas
(34.748265, -92.425049)",01/28/2015-01/29/2015
2015-115844,53,Theft of property Misd,"3701 PLATEAU ST
Little Rock, Arkansas
(34.749248, -92.314345)",10/8/15
2015-060097,91,Theft of property Misd,"7525 BASELINE RD
Little Rock, Arkansas
(34.669701, -92.361577)",6/1/15
2015-029127,54,Domestic Battering 2nd degree,"1600 S ELM ST
Little Rock, Arkansas
(34.736383, -92.31919)",3/19/15
2015-040565,40,Theft of property Misd,"100 E CAPITOL AV
Little Rock, Arkansas
(34.744075, -92.270464)",4/15/15
2015-079252,92,Theft of property Misd,"11001 INTERSTATE 30
Little Rock, Arkansas
(34.66418, -92.39597)",7/14/15
2015-060560,82,Theft of property Misd,"3808 ARAPAHO
Little Rock, Arkansas
(34.660999, -92.32203)",05/29/2015-06/02/2015
2014-038707,53,Theft of property Misd,"3904 W 11TH ST
Little Rock, Arkansas
(34.741402, -92.31709)",04/04/2014-04/11/2014
2014-141608,81,Theft of property Misd,"5722 CARLYLE DR
Little Rock, Arkansas
(34.673538, -92.341681)",11/26/2014-12/08/2014
2015-010785,90,Theft of property Misd,"12626 LAWSON RD
Little Rock, Arkansas
(34.707733, -92.413096)",1/28/15
2015-072153,81,Breaking or Entering Vehicle,"8705 VERBENA DR
Little Rock, Arkansas
(34.671022, -92.352605)",6/29/15
2014-007188,53,Theft of property Misd,"2509 W 6TH ST
Little Rock, Arkansas
(34.746204, -92.301536)",01/19/2014-10/20/2014
2015-014669,54,Theft of property Felony,"5004 W 28TH ST
Little Rock, Arkansas
(34.726416, -92.330112)",2/4/15
2015-115525,40,Theft of property lost mislaid or delivered by mistake Misd,"311 E 8TH ST
Little Rock, Arkansas
(34.740807, -92.268752)",10/7/15
2015-132838,60,Breaking or Entering Vehicle,"2319 BLACKWOOD RD
Little Rock, Arkansas
(34.774046, -92.350772)",11/20/15
2014-081367,62,Theft of scrap metal,"8116 VINEWOOD LN
Little Rock, Arkansas
(34.710885, -92.366248)",07/18/2014-07/19/2014
2015-086860,81,Burglary - Residential,"24 S WAKEFIELD DR
Little Rock, Arkansas
(34.683188, -92.328934)",7/31/15
2015-031168,51,Aggravated assault,"800 BROADWAY ST
Little Rock, Arkansas
(34.741641, -92.276509)",3/24/15
2015-043742,92,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",4/20/15
2015-030527,64,Aggravated Robbery (Business),"3500 JOHN BARROW RD
Little Rock, Arkansas
(34.721497, -92.372995)",3/22/15
2015-042070,64,Aggravated Robbery (Individual),"1200 S SHACKLEFORD RD
Little Rock, Arkansas
(34.742633, -92.39436)",4/19/15
2015-134833,70,Theft of property Felony,"11 PLEASANT VALLEY DR
Little Rock, Arkansas
(34.777953, -92.403188)",11/24/2015-11/25/2015
2015-048332,64,Theft of property Misd,"801 S BOWMAN RD
Little Rock, Arkansas
(34.746254, -92.407228)",4/26/15
2015-080574,64,Theft of property Misd,"11400 W MARKHAM ST
Little Rock, Arkansas
(34.75393, -92.399487)",04/07/2015-07/06/2015
2015-057014,53,Theft of property Misd,"2809 LINDEN ST
Little Rock, Arkansas
(34.7492, -92.30439)",05/20/2015-05/21/2015
2015-002105,54,Theft of property Misd,"3119 WASHINGTON ST
Little Rock, Arkansas
(34.723264, -92.323163)",01/05/2015-01/06/2015
2015-127008,82,Battery 1st degree,"4316 PINE CONE DR
Little Rock, Arkansas
(34.663557, -92.326081)",11/5/15
2015-001713,53,Aggravated assault,"1 NANDINA ST
Little Rock, Arkansas
(34.654136, -92.430681)",1/3/15
2015-010961,71,Breaking or Entering Vehicle,"800 PARKWAY PLACE DR
Little Rock, Arkansas
(34.747887, -92.424829)",1/29/15
2015-106307,53,Theft of property Misd,"3124 W ROOSEVELT RD
Little Rock, Arkansas
(34.725628, -92.310531)",9/15/15
2015-131729,81,Theft of property Misd,"8709 GEYER SPRINGS RD
Little Rock, Arkansas
(34.670591, -92.344282)",11/17/15
2015-093158,60,Theft of property Misd,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752342, -92.343181)",8/15/15
2015-127019,51,Theft of property Felony,"1116 W DAISY L GATSON BATES DR
Little Rock, Arkansas
(34.737081, -92.285633)",11/4/15
2015-093371,71,Breaking or Entering Vehicle,"1602 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.768691, -92.403718)",08/15/2015-08/16/2015
2015-042853,71,Theft of property Felony,"13500 CHENAL
Little Rock, Arkansas
(34.755679, -92.426065)",4/21/15
2014-027316,81,Theft of property Misd,"5300 BASELINE RD
Little Rock, Arkansas
(34.668813, -92.336695)",03/13/2014-03/14/2014
2015-062400,61,Breaking or Entering Vehicle,"6209 BOYLE PARK RD
Little Rock, Arkansas
(34.735984, -92.344467)",06/05/2015-06/06/2015
2015-007043,53,Theft of property Misd,"3917 W 12TH ST
Little Rock, Arkansas
(34.740479, -92.317341)",01/16/2015-01/19/2015
2015-021679,93,Breaking or Entering Vehicle,"27 NANDINA
Little Rock, Arkansas
(34.654156, -92.431161)",2/27/15
2015-039629,54,Burglary - Residential,"4301 W 24TH ST
Little Rock, Arkansas
(34.72973, -92.321857)",4/13/15
2014-128908,91,Burglary - Residential,"7716 REBECCA DR
Little Rock, Arkansas
(34.659241, -92.364776)",11/04/2014-11/06/2014
2015-051546,64,Aggravated assault on an family or household member,"1640 JOHN BARROW RD
Little Rock, Arkansas
(34.738012, -92.372374)",5/12/15
2015-022065,52,Theft of property Felony,"2914 S ARCH ST
Little Rock, Arkansas
(34.720114, -92.280348)",2/28/15
2014-104241,90,Burglary - Residential,"30 MELINDA DR
Little Rock, Arkansas
(34.679246, -92.369692)",09/08/2014-09/10/2014
2015-063690,64,Theft of property Misd,"9101 W MARKHAM ST
Little Rock, Arkansas
(34.753315, -92.374491)",6/9/15
2015-097476,81,Aggravated assault on an family or household member,"8 EXETER DR
Little Rock, Arkansas
(34.685214, -92.330705)",8/26/15
2015-109212,63,Burglary Commercial,"10524 W MARKHAM ST
Little Rock, Arkansas
(34.753884, -92.390419)",9/22/15
2015-023678,80,Theft of property Misd,"5517 W 51ST ST
Little Rock, Arkansas
(34.703304, -92.337302)",03/03/2015-03/04/2015
2015-067471,60,Theft of property Misd,"6115 W MARKHAM ST
Little Rock, Arkansas
(34.74901, -92.27709)",06/17/2015-06/18/2015
2014-077568,81,Theft of property Misd,"5001 W 65TH ST
Little Rock, Arkansas
(34.690292, -92.331693)",07/03/2014-07/08/2014
2015-083341,60,Theft of property Misd,"7526 OUACHITA DR
Little Rock, Arkansas
(34.746489, -92.358782)",7/8/15
2015-027327,63,Burglary - Residential,"1400 OLD FORGE DR
Little Rock, Arkansas
(34.765769, -92.383332)",3/14/15
2014-099355,90,Breaking or Entering Vehicle,"9515 INTERSTATE 30
Little Rock, Arkansas
(34.674893, -92.366957)",08/29/2014-08/30/2014
2014-062940,71,Theft of property Felony,"1502 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.766503, -92.403096)",06/06/2014-06/07/2014
2014-136684,71,Breaking or Entering Vehicle,"500 NAPA VALLEY DR
Little Rock, Arkansas
(34.759726, -92.41156)",11/25/2014-11/26/2014
2015-001510,60,Theft of property Misd,"608 N BRYAN ST
Little Rock, Arkansas
(34.757643, -92.353149)",1/4/15
2015-051180,71,Breaking or Entering Vehicle,"13500 CHENAL
Little Rock, Arkansas
(34.755679, -92.426065)",5/11/15
2015-031335,82,Theft of property Felony,"56 MARIETTA
Little Rock, Arkansas
(34.672763, -92.330347)",3/24/15
2015-107517,72,Theft of property Felony,"5601 RANCH DR
Little Rock, Arkansas
(34.805675, -92.459633)",9/18/15
2015-115272,72,Theft of property Felony,"16105 CHENAL
Little Rock, Arkansas
(34.758117, -92.448661)",10/5/15
2015-083609,91,Theft of property Misd,"8824 GEYER SPRINGS RD
Little Rock, Arkansas
(34.67057, -92.344283)",7/24/15
2015-141963,82,Theft of property Felony,"6609 TENA LN
Little Rock, Arkansas
(34.662557, -92.351624)",12/13/2015-12/14/2015
2015-100821,81,Battery 2nd degree,"7501 INTERSTATE 30
Little Rock, Arkansas
(34.678517, -92.321232)",9/3/15
2015-065473,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",6/13/15
2015-056578,42,Aggravated assault on an family or household member,"1000 E 9TH ST
Little Rock, Arkansas
(34.739469, -92.260037)",5/23/15
2015-090790,82,Battery 2nd degree,"4716 BASELINE RD
Little Rock, Arkansas
(34.668478, -92.330629)",8/10/15
2015-000645,63,Theft of property Misd,"10201 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.76652, -92.387398)",1/2/15
2015-024059,41,Theft of property Misd,"1821 S BROADWAY ST
Little Rock, Arkansas
(34.73105, -92.278507)",3/5/15
2015-131090,82,Breaking or Entering Vehicle,"9010 HILARO SPRINGS RD
Little Rock, Arkansas
(34.666459, -92.318515)",11/15/15
2014-143839,52,Burglary Commercial,"1820 WRIGHT AV
Little Rock, Arkansas
(34.732236, -92.294035)",12/14/2014-12/15/2014
2015-109957,61,Aggravated Robbery (Individual),"2517 VANCOUVER DR
Little Rock, Arkansas
(34.729907, -92.363488)",9/24/15
2015-116257,63,Aggravated assault on an family or household member,"9600 SATTERFIELD DR
Little Rock, Arkansas
(34.76234, -92.380824)",10/9/15
